dataset,model,variant,mse,mae,params,seq_len,pred_len,patch_len
NP,MANTA_Ablation,full,0.237234,0.272126,2607584,168,24,24
NP,MANTA_Ablation,single_scale_na,0.237491,0.269318,2607584,168,24,24
NP,MANTA_Ablation,full_self_attn,0.230614,0.265897,2607584,168,24,24
NP,MANTA_Ablation,full_cross_attn,0.240143,0.272994,2565822,168,24,24
NP,MANTA_Ablation,no_var_gate,0.241582,0.273266,2565822,168,24,24
NP,MANTA_Ablation,no_cross_encoder,0.253625,0.276356,1311582,168,24,24
NP,MANTA_Ablation,separate_encoders,0.248603,0.271493,5116064,168,24,24
PJM,MANTA_Ablation,full,0.086022,0.183434,11697873,168,24,24
PJM,MANTA_Ablation,single_scale_na,0.087616,0.186105,11697873,168,24,24
PJM,MANTA_Ablation,full_self_attn,0.088119,0.184807,11697873,168,24,24
PJM,MANTA_Ablation,full_cross_attn,0.084673,0.185107,11524350,168,24,24
PJM,MANTA_Ablation,no_var_gate,0.085618,0.184398,11524350,168,24,24
PJM,MANTA_Ablation,no_cross_encoder,0.097776,0.193480,5809950,168,24,24
PJM,MANTA_Ablation,separate_encoders,0.085143,0.182085,23126673,168,24,24
BE,MANTA_Ablation,full,0.369802,0.249282,25116896,168,24,24
BE,MANTA_Ablation,single_scale_na,0.380783,0.251241,25116896,168,24,24
BE,MANTA_Ablation,full_self_attn,0.379319,0.245697,25116896,168,24,24
BE,MANTA_Ablation,full_cross_attn,0.381108,0.257197,24558270,168,24,24
BE,MANTA_Ablation,no_var_gate,0.384503,0.260412,24558270,168,24,24
BE,MANTA_Ablation,no_cross_encoder,0.393287,0.258185,12384222,168,24,24
BE,MANTA_Ablation,separate_encoders,0.384457,0.250951,49464992,168,24,24
FR,MANTA_Ablation,full,0.381913,0.207392,16308033,168,24,24
FR,MANTA_Ablation,single_scale_na,0.382099,0.208531,16308033,168,24,24
FR,MANTA_Ablation,full_self_attn,0.402912,0.218731,16308033,168,24,24
FR,MANTA_Ablation,full_cross_attn,0.414256,0.229379,16058334,168,24,24
FR,MANTA_Ablation,no_var_gate,0.431098,0.231535,16058334,168,24,24
FR,MANTA_Ablation,no_cross_encoder,0.430613,0.232361,8086494,168,24,24
FR,MANTA_Ablation,separate_encoders,0.429269,0.235478,32251713,168,24,24
DE,MANTA_Ablation,full,0.420614,0.408115,34307889,168,24,24
DE,MANTA_Ablation,single_scale_na,0.447209,0.412927,34307889,168,24,24
DE,MANTA_Ablation,full_self_attn,0.447206,0.416458,34307889,168,24,24
DE,MANTA_Ablation,full_cross_attn,0.421433,0.407179,33469950,168,24,24
DE,MANTA_Ablation,no_var_gate,0.430777,0.412550,33469950,168,24,24
DE,MANTA_Ablation,no_cross_encoder,0.447670,0.421561,16840062,168,24,24
DE,MANTA_Ablation,separate_encoders,0.470844,0.418615,67567665,168,24,24
